Keyword,Campaign,Ad group,Max CPC
[direct debit origination],DD Services EM,Direct Debit Originator,1.757
[dd originator],DD Services EM,Direct Debit Originator,1.757
[direct debit originator id],DD Services EM,Direct Debit Originator,1.757
[become a direct debit originator],DD Services EM,Direct Debit Originator,1.757
[dd origination],DD Services EM,Direct Debit Originator,1.757
[direct debit originator codes],DD Services EM,Direct Debit Originator,1.757
[direct debit originator list],DD Services EM,Direct Debit Originator,1.757
[how to become a direct debit originator],DD Services EM,Direct Debit Originator,1.757
[direct debit originator number],DD Services EM,Direct Debit Originator,1.757
[direct debit originator new business],DD Services EM,Direct Debit Originator New Business,1.757
[direct debit originators identification number],DD Services EM,Direct Debit Originators Identification Number,1.757
[direct debit processing],DD Services EM,Direct Debit Processing,1.757
[go card less],Brand EM,Brand,1.725
[direct debit payment],DD Payment EM,Direct Debit Payment,1.668
[direct debit for business],DD Services EM,Direct Debit For Business,1.668
"""set up donation""",Charity PM,Set Up Donation,1.668
[direct debits],DD Direct Debit EM,Direct Debits,1.433
"""Recurring Payments""",Recurring Payments PM,Recurring,1.375
[repeat payments],Repeat Payments EM,Repeat,1.316
[repeating payments],Repeat Payments EM,Repeat,1.316
[Repeat Payments],Repeat Payments EM,Repeat,1.316
[Repeat Payments Online],Repeat Payments EM,Repeat,1.316
[Accept Repeat Payments],Repeat Payments EM,Accept,1.316
[Accept Repeat Payments Online],Repeat Payments EM,Accept,1.316
[Take Repeat Payments],Repeat Payments EM,Take,1.316
[Take Repeat Payments Online],Repeat Payments EM,Take,1.316
[Process repeat payments],Repeat Payments EM,Process,1.316
[Process repeat payments online],Repeat Payments EM,Process,1.316
"""Accept Repeat Payments""",Repeat Payments PM,Accept,1.316
"""Accept Repeat Payments Online""",Repeat Payments PM,Accept,1.316
"""Process repeat payments""",Repeat Payments PM,Process,1.316
"""Process repeat payments online""",Repeat Payments PM,Process,1.316
"""repeating payments""",Repeat Payments PM,Repeat,1.316
"""Repeat Payments Online""",Repeat Payments PM,Repeat,1.316
"""Take Repeat Payments""",Repeat Payments PM,Take,1.316
"""Take Repeat Payments Online""",Repeat Payments PM,Take,1.316
 +Accept +Repeat +Payments,Repeat Payments BM,Accept,1.316
 +Accept +Repeat +Payments +Online,Repeat Payments BM,Accept,1.316
Accept Repeat Payments,Repeat Payments BM,Accept,1.316
Accept Repeat Payments Online,Repeat Payments BM,Accept,1.316
 +Process +repeat +payments,Repeat Payments BM,Process,1.316
 +Process +repeat +payments +online,Repeat Payments BM,Process,1.316
Process repeat payments,Repeat Payments BM,Process,1.316
Process repeat payments online,Repeat Payments BM,Process,1.316
repeating payments,Repeat Payments BM,Repeat,1.316
 +Repeat +Payments,Repeat Payments BM,Repeat,1.316
 +Repeat +Payments +Online,Repeat Payments BM,Repeat,1.316
 +repeating +payments,Repeat Payments BM,Repeat,1.316
Repeat Payments,Repeat Payments BM,Repeat,1.316
Repeat Payments Online,Repeat Payments BM,Repeat,1.316
 +Take +Repeat +Payments,Repeat Payments BM,Take,1.316
 +Take +Repeat +Payments +Online,Repeat Payments BM,Take,1.316
Take Repeat Payments,Repeat Payments BM,Take,1.316
Take Repeat Payments Online,Repeat Payments BM,Take,1.316
[manage direct debits],DD Direct Debit EM,Direct Debits,1.299
[direct debit uk],DD Direct Debit EM,Uk Direct Debit,1.299
[uk direct debit],DD Direct Debit EM,Uk Direct Debit,1.299
[direct debit solutions],DD Direct Debit EM,Direct Debit,1.299
[direct debit facility],DD Direct Debit EM,Direct Debit,1.299
[direct debit online],DD Direct Debit EM,Direct Debit,1.299
[online direct debit system],DD Direct Debit EM,Direct Debit,1.299
[paypal direct debit],DD Direct Debit EM,Direct Debit,1.299
[direct debit collection service],DD Direct Debit EM,Direct Debit,1.299
[the originators guide and rules to the direct debit scheme],DD Direct Debit EM,Direct Debit,1.299
[easy direct debit],DD Direct Debit EM,Direct Debit,1.299
[direct debits for small businesses],DD Direct Debit EM,Direct Debit,1.299
[direct debiting],DD Direct Debit EM,Direct Debit,1.299
[streamline direct debit],DD Direct Debit EM,Direct Debit,1.299
"""Accept Recurring Payments""",Recurring Payments PM,Accept,1.286
"""Accept Recurring Payments Online""",Recurring Payments PM,Accept,1.286
"""Process Recurring payments""",Recurring Payments PM,Process,1.286
"""Process Recurring payments online""",Recurring Payments PM,Process,1.286
"""recurring payment""",Recurring Payments PM,Recurring,1.286
"""recurring payment online""",Recurring Payments PM,Recurring,1.286
"""Recurring Payments Online""",Recurring Payments PM,Recurring,1.286
"""Recurringing payments""",Recurring Payments PM,Recurring,1.286
"""Take Recurring Payments""",Recurring Payments PM,Take,1.286
"""Take Recurring Payments Online""",Recurring Payments PM,Take,1.286
[Accept Recurring Payments],Recurring Payments EM,Accept,1.261
[Accept Recurring Payments Online],Recurring Payments EM,Accept,1.261
[Process Recurring payments],Recurring Payments EM,Process,1.261
[Process Recurring payments online],Recurring Payments EM,Process,1.261
[Recurring Payments],Recurring Payments EM,Recurring,1.261
[Recurring Payments Online],Recurring Payments EM,Recurring,1.261
[Recurringing payments],Recurring Payments EM,Recurring,1.261
[xero recurring payments],Recurring Payments EM,Recurring,1.261
[Take Recurring Payments],Recurring Payments EM,Take,1.261
[Take Recurring Payments Online],Recurring Payments EM,Take,1.261
[direct debit],DD Direct Debit EM,Direct Debit,1.260
"""charities online""",Charity PM,Charities Online,1.190
 +direct +debit,DD Direct Debit BM,Direct Debit,1.093
[direct debit bureau],DD Services EM,Direct Debit Bureau,1.088
Accept Recurring Payments,Recurring Payments BM,Accept,1.088
 +standing +order,Standing Order BM,Standing Order Online,1.065
standing orders,Standing Order BM,Standing Order Online,1.057
standing order,Standing Order BM,Standing Order Online,1.057
standing orders online,Standing Order BM,Standing Order Online,1.057
 +standing +orders,Standing Order BM,Standing Order Online,1.057
 +online +standing +orders,Standing Order BM,Standing Order Online,1.057
 +standing +orders +online,Standing Order BM,Standing Order Online,1.057
online standing orders,Standing Order BM,Standing Order Online,1.057
standing order direct debit,Standing Order BM,Standing Order vs Direct Debit,1.057
direct debit vs standing order,Standing Order BM,Standing Order vs Direct Debit,1.057
standing order vs direct debit,Standing Order BM,Standing Order vs Direct Debit,1.057
 +standing +order +direct +debit,Standing Order BM,Standing Order vs Direct Debit,1.057
 +direct +debit +vs +standing +order,Standing Order BM,Standing Order vs Direct Debit,1.057
 +standing +order +vs +direct +debit,Standing Order BM,Standing Order vs Direct Debit,1.057
 +standing +orders +direct +debit,Standing Order BM,Standing Order vs Direct Debit,1.057
 +standing +orders +direct +debits,Standing Order BM,Standing Order vs Direct Debit,1.057
[recurring payments paypal],Recurring Payments BM,Accept,1.041
Process Recurring payments,Recurring Payments BM,Process,1.041
Process Recurring payments online,Recurring Payments BM,Process,1.041
Recurringing payments,Recurring Payments BM,Recurring,1.041
[taking regular payments online],Recurring Payments BM,Recurring,1.041
Take Recurring Payments Online,Recurring Payments BM,Take,1.041
[go cardless],Brand EM,Brand,1.010
direct debit add on sage 50,DD Platforms BM,Direct Debit Add On Sage 50,0.987
 +direct +debit +add +on +sage +50,DD Platforms BM,Direct Debit Add On Sage 50,0.987
direct debit integration sage,DD Platforms BM,Direct Debit Integration Sage,0.987
 +direct +debit +integration +sage,DD Platforms BM,Direct Debit Integration Sage,0.987
direct debit sage,DD Platforms BM,Direct Debit Sage,0.987
 +direct +debit +sage,DD Platforms BM,Direct Debit Sage,0.987
direct debits sage line 50,DD Platforms BM,Direct Debits Sage Line 50,0.987
 +direct +debits +sage +line +50,DD Platforms BM,Direct Debits Sage Line 50,0.987
direct debits within sage,DD Platforms BM,Direct Debits Within Sage,0.987
 +direct +debits +within +sage,DD Platforms BM,Direct Debits Within Sage,0.987
sage 50 direct debit collection,DD Platforms BM,Sage 50 Direct Debit Collection,0.987
 +sage +50 +direct +debit +collection,DD Platforms BM,Sage 50 Direct Debit Collection,0.987
sage and didrerct debit software,DD Platforms BM,Sage And Didrerct Debit Software,0.987
 +sage +and +didrerct +debit +software,DD Platforms BM,Sage And Didrerct Debit Software,0.987
sage direct debit,DD Platforms BM,Sage Direct Debit,0.987
 +sage +direct +debit,DD Platforms BM,Sage Direct Debit,0.987
sage direct debit software,DD Platforms BM,Sage Direct Debit Software,0.987
 +sage +direct +debit +software,DD Platforms BM,Sage Direct Debit Software,0.987
sage line 50 accounts 2013 direct debit software,DD Platforms BM,Sage Line 50 Accounts 2013 Direct Debit Software,0.987
 +sage +line +50 +accounts +2013 +direct +debit +software,DD Platforms BM,Sage Line 50 Accounts 2013 Direct Debit Software,0.987
sage line 50 direct debit processing,DD Platforms BM,Sage Line 50 Direct Debit Processing,0.987
 +sage +line +50 +direct +debit +processing,DD Platforms BM,Sage Line 50 Direct Debit Processing,0.987
sage line 50 recurring invoices,DD Platforms BM,Sage Line 50 Recurring Invoices,0.987
 +sage +line +50 +recurring +invoices,DD Platforms BM,Sage Line 50 Recurring Invoices,0.987
sage pay monthly direct debit facility,DD Platforms BM,Sage Pay Monthly Direct Debit Facility,0.987
 +sage +pay +monthly +direct +debit +facility,DD Platforms BM,Sage Pay Monthly Direct Debit Facility,0.987
sage recurring,DD Platforms BM,Sage Recurring,0.987
 +sage +recurring,DD Platforms BM,Sage Recurring,0.987
sagepay direct debit,DD Platforms BM,Sagepay Direct Debit,0.987
 +sagepay +direct +debit,DD Platforms BM,Sagepay Direct Debit,0.987
sagepay recurring,DD Platforms BM,Sagepay Recurring,0.987
 +sagepay +recurring,DD Platforms BM,Sagepay Recurring,0.987
use sage to collect direct debits,DD Platforms BM,Use Sage To Collect Direct Debits,0.987
 +use +sage +to +collect +direct +debits,DD Platforms BM,Use Sage To Collect Direct Debits,0.987
recurring payments,DD Platforms BM,Payment,0.987
payments software,DD Platforms BM,Payment,0.987
software payment,DD Platforms BM,Payment,0.987
debit payments,DD Platforms BM,Payment,0.987
automate payments,DD Platforms BM,Payment,0.987
recurring payment software,DD Platforms BM,Payment,0.987
payment by direct debit,DD Platforms BM,Payment,0.987
payment site,DD Platforms BM,Payment,0.987
cash flow payments,DD Platforms BM,Payment,0.987
invoicing and payment,DD Platforms BM,Payment,0.987
subscriptions and recurring payments,DD Platforms BM,Payment,0.987
what is direct debit payment,DD Platforms BM,Payment,0.987
recurring payment to,DD Platforms BM,Payment,0.987
subscribe to a recurring payment,DD Platforms BM,Payment,0.987
how to take direct debit payments,DD Platforms BM,Payment,0.987
go to payment,DD Platforms BM,Payment,0.987
[direct debit add on sage 50],DD Platforms EM,Direct Debit Add On Sage 50,0.962
[direct debit integration sage],DD Platforms EM,Direct Debit Integration Sage,0.962
[direct debit sage],DD Platforms EM,Direct Debit Sage,0.962
[direct debits sage line 50],DD Platforms EM,Direct Debits Sage Line 50,0.962
[direct debits within sage],DD Platforms EM,Direct Debits Within Sage,0.962
[sage 50 direct debit collection],DD Platforms EM,Sage 50 Direct Debit Collection,0.962
[sage and didrerct debit software],DD Platforms EM,Sage And Didrerct Debit Software,0.962
[sage direct debit],DD Platforms EM,Sage Direct Debit,0.962
[sage direct debit software],DD Platforms EM,Sage Direct Debit Software,0.962
[sage line 50 accounts 2013 direct debit software],DD Platforms EM,Sage Line 50 Accounts 2013 Direct Debit Software,0.962
[sage line 50 direct debit processing],DD Platforms EM,Sage Line 50 Direct Debit Processing,0.962
[sage line 50 recurring invoices],DD Platforms EM,Sage Line 50 Recurring Invoices,0.962
[sage pay monthly direct debit facility],DD Platforms EM,Sage Pay Monthly Direct Debit Facility,0.962
[sage recurring],DD Platforms EM,Sage Recurring,0.962
[sagepay direct debit],DD Platforms EM,Sagepay Direct Debit,0.962
[sagepay recurring],DD Platforms EM,Sagepay Recurring,0.962
[use sage to collect direct debits],DD Platforms EM,Use Sage To Collect Direct Debits,0.962
[bacs software],DD Platforms EM,Payment,0.962
[billing system],DD Platforms EM,Payment,0.962
[bill pay uk],DD Platforms EM,Payment,0.962
[mobile payment apps],DD Platforms EM,Payment,0.962
[barcode payment system],DD Platforms EM,Payment,0.962
[apps p2p payment],DD Platforms EM,Payment,0.962
"""direct debit add on sage 50""",DD Platforms PM,Direct Debit Add On Sage 50,0.962
"""direct debit integration sage""",DD Platforms PM,Direct Debit Integration Sage,0.962
"""direct debit sage""",DD Platforms PM,Direct Debit Sage,0.962
"""direct debits sage line 50""",DD Platforms PM,Direct Debits Sage Line 50,0.962
"""direct debits within sage""",DD Platforms PM,Direct Debits Within Sage,0.962
"""sage 50 direct debit collection""",DD Platforms PM,Sage 50 Direct Debit Collection,0.962
"""sage and didrerct debit software""",DD Platforms PM,Sage And Didrerct Debit Software,0.962
"""sage direct debit""",DD Platforms PM,Sage Direct Debit,0.962
"""sage direct debit software""",DD Platforms PM,Sage Direct Debit Software,0.962
"""sage line 50 accounts 2013 direct debit software""",DD Platforms PM,Sage Line 50 Accounts 2013 Direct Debit Software,0.962
"""sage line 50 direct debit processing""",DD Platforms PM,Sage Line 50 Direct Debit Processing,0.962
"""sage line 50 recurring invoices""",DD Platforms PM,Sage Line 50 Recurring Invoices,0.962
"""sage pay monthly direct debit facility""",DD Platforms PM,Sage Pay Monthly Direct Debit Facility,0.962
"""sage recurring""",DD Platforms PM,Sage Recurring,0.962
"""sagepay direct debit""",DD Platforms PM,Sagepay Direct Debit,0.962
"""sagepay recurring""",DD Platforms PM,Sagepay Recurring,0.962
"""use sage to collect direct debits""",DD Platforms PM,Use Sage To Collect Direct Debits,0.962
[benefits of direct debit],DD Questions EM,Benefits Of Direct Debit,0.949
[can you set up daily direct debits],DD Questions EM,Can You Set Up Daily Direct Debits,0.949
[direct debit advantages],DD Questions EM,Direct Debit Advantages,0.949
[direct debit regulations],DD Questions EM,Direct Debit Regulations,0.949
[direct debit rules and regulations],DD Questions EM,Direct Debit Rules And Regulations,0.949
[direct debit rules uk],DD Questions EM,Direct Debit Rules Uk,0.949
[direct debits rules],DD Questions EM,Direct Debits Rules,0.949
[how a charity become direct debit organiser],DD Questions EM,How A Charity Become Direct Debit Organiser,0.949
[how direct debit works],DD Questions EM,How Direct Debit Works,0.949
[how do you setup to offer direct debit],DD Questions EM,How Do You Setup To Offer Direct Debit,0.949
[how does direct debit work],DD Questions EM,How Does Direct Debit Work,0.949
[how to charge clients with direct debit uk],DD Questions EM,How To Charge Clients With Direct Debit Uk,0.949
[how to collect direct debits from donors],DD Questions EM,How To Collect Direct Debits From Donors,0.949
[how to direct debit],DD Questions EM,How To Direct Debit,0.949
[how to receive direct debits],DD Questions EM,How To Receive Direct Debits,0.949
[how to set up a direct debit for a customer],DD Questions EM,How To Set Up A Direct Debit For A Customer,0.949
[how to set up a direct debit system],DD Questions EM,How To Set Up A Direct Debit System,0.949
[how to set up direct debit for my customers],DD Questions EM,How To Set Up Direct Debit For My Customers,0.949
[how to set up direct debit on my website],DD Questions EM,How To Set Up Direct Debit On My Website,0.949
[how to take direct debits],DD Questions EM,How To Take Direct Debits,0.949
[how to transfer direct debits],DD Questions EM,How To Transfer Direct Debits,0.949
[what are direct debits],DD Questions EM,What Are Direct Debits,0.949
[what is a direct debit],DD Questions EM,What Is A Direct Debit,0.949
[what is direct debit],DD Questions EM,What Is Direct Debit,0.949
[what is direct debits],DD Questions EM,What Is Direct Debits,0.949
[what is the direct debit guarantee],DD Questions EM,What Is The Direct Debit Guarantee,0.949
"""by direct debit""",DD Long Tail PM,By Direct Debit,0.895
Recurring Payments Online,Recurring Payments BM,Recurring,0.893
[gocard less],Brand EM,Brand,0.888
[gocardles],Brand EM,Brand,0.888
 --, --, --,0.868
[direct debit mandate form],DD Long Tail EM,Direct Debit Mandate Form,0.863
"""merchant services""",Online Payments PM,Merchant Services,0.863
[gocardless],Brand EM,Brand,0.830
"""direct debit""",DD Direct Debit PM,Direct Debit,0.823
[bacs payments],Bacs EM,Bacs Payments,0.808
"""online charity""",Charity PM,Online Charity,0.808
"""uk direct debit""",DD Direct Debit PM,Uk Direct Debit,0.806
"""direct debit account number""",DD Long Tail PM,Direct Debit Account Number,0.768
"""direct debit advance notice""",DD Long Tail PM,Direct Debit Advance Notice,0.768
"""direct debit agreement""",DD Long Tail PM,Direct Debit Agreement,0.768
"""direct debit api""",DD Long Tail PM,Direct Debit Api,0.768
"""direct debit application""",DD Long Tail PM,Direct Debit Application,0.768
"""direct debit application form""",DD Long Tail PM,Direct Debit Application Form,0.768
"""direct debit authorization form""",DD Long Tail PM,Direct Debit Authorization Form,0.768
"""direct debit details""",DD Long Tail PM,Direct Debit Details,0.768
"""direct debit expert""",DD Long Tail PM,Direct Debit Expert,0.768
"""direct debit fees""",DD Long Tail PM,Direct Debit Fees,0.768
"""direct debit fees for business""",DD Long Tail PM,Direct Debit Fees For Business,0.768
"""direct debit form""",DD Long Tail PM,Direct Debit Form,0.768
"""direct debit form reference number""",DD Long Tail PM,Direct Debit Form Reference Number,0.768
"""direct debit form template""",DD Long Tail PM,Direct Debit Form Template,0.768
"""direct debit forms""",DD Long Tail PM,Direct Debit Forms,0.768
"""direct debit indemnity""",DD Long Tail PM,Direct Debit Indemnity,0.768
"""direct debit information""",DD Long Tail PM,Direct Debit Information,0.768
"""direct debit law""",DD Long Tail PM,Direct Debit Law,0.768
"""direct debit laws""",DD Long Tail PM,Direct Debit Laws,0.768
"""direct debit legislation""",DD Long Tail PM,Direct Debit Legislation,0.768
"""direct debit mandate""",DD Long Tail PM,Direct Debit Mandate,0.768
"""direct debit mandate form""",DD Long Tail PM,Direct Debit Mandate Form,0.768
"""direct debit mandate form template""",DD Long Tail PM,Direct Debit Mandate Form Template,0.768
"""direct debit mandate rules""",DD Long Tail PM,Direct Debit Mandate Rules,0.768
"""direct debit mandate template""",DD Long Tail PM,Direct Debit Mandate Template,0.768
"""direct debit mandates""",DD Long Tail PM,Direct Debit Mandates,0.768
"""direct debit no instruction""",DD Long Tail PM,Direct Debit No Instruction,0.768
"""direct debit scheme""",DD Long Tail PM,Direct Debit Scheme,0.768
"""direct debit scheme rules""",DD Long Tail PM,Direct Debit Scheme Rules,0.768
"""direct debit scheme rules uk""",DD Long Tail PM,Direct Debit Scheme Rules Uk,0.768
"""direct debit service user number""",DD Long Tail PM,Direct Debit Service User Number,0.768
"""direct debit small business""",DD Long Tail PM,Direct Debit Small Business,0.768
"""direct debit uk""",DD Long Tail PM,Direct Debit Uk,0.768
"""direct debit wordpress""",DD Long Tail PM,Direct Debit Wordpress,0.768
"""direct debits for small companies""",DD Long Tail PM,Direct Debits For Small Companies,0.768
"""european direct debit""",DD Long Tail PM,European Direct Debit,0.768
"""international direct debit""",DD Long Tail PM,International Direct Debit,0.768
"""moving direct debits""",DD Long Tail PM,Moving Direct Debits,0.768
"""payless direct debit""",DD Long Tail PM,Payless Direct Debit,0.768
"""receiving monthly direct debit""",DD Long Tail PM,Receiving Monthly Direct Debit,0.768
"""small business direct debit""",DD Long Tail PM,Small Business Direct Debit,0.768
"""standing orders and direct debits""",DD Long Tail PM,Standing Orders And Direct Debits,0.768
"""sun number direct debit""",DD Long Tail PM,Sun Number Direct Debit,0.768
"""the direct debit guarantee""",DD Long Tail PM,The Direct Debit Guarantee,0.768
"""transfer direct debits""",DD Long Tail PM,Transfer Direct Debits,0.768
"""transferring direct debits""",DD Long Tail PM,Transferring Direct Debits,0.768
"""variable direct debit""",DD Long Tail PM,Variable Direct Debit,0.768
"""simpler direct debit""",DD Long Tail PM,Simpler Direct Debit,0.768
"""direct debit set up""",DD Long Tail PM,Direct Debit Set Up,0.768
"""direct debit setup""",DD Long Tail PM,Direct Debit Setup,0.768
"""direct debit companies""",DD Long Tail PM,Direct Debit Compare,0.768
"""compare direct debit""",DD Long Tail PM,Direct Debit Compare,0.768
"""best direct debit company""",DD Long Tail PM,Direct Debit Compare,0.768
"""compare direct debit companies""",DD Long Tail PM,Direct Debit Compare,0.768
"""compare direct debit company""",DD Long Tail PM,Direct Debit Compare,0.768
"""direct debit best company""",DD Long Tail PM,Direct Debit Compare,0.768
"""direct debit company best""",DD Long Tail PM,Direct Debit Compare,0.768
"""direct debit compare""",DD Long Tail PM,Direct Debit Compare,0.768
direct debits,DD Direct Debit BM,Direct Debits,0.763
 +direct +debits,DD Direct Debit BM,Direct Debits,0.763
uk direct debit,DD Direct Debit BM,Uk Direct Debit,0.763
 +uk +direct +debit,DD Direct Debit BM,Uk Direct Debit,0.763
[direct debt],DD Direct Debit BM,Direct Debit,0.763
[direct debit collection companies],DD Direct Debit BM,Direct Debit,0.763
[direct debit madate],DD Direct Debit BM,Direct Debit,0.763
[direct debit set up business],DD Direct Debit BM,Direct Debit,0.763
[dorect debit],DD Direct Debit BM,Direct Debit,0.763
